#syntaxMethod	owner	method	importPath
cats/syntax/ApplicativeErrorIdOps#raiseError().	cats/ApplicativeError#raiseError().	cats/ApplicativeError#raiseError().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorOps#attempt().	cats/ApplicativeError#attempt().	cats/ApplicativeError#attempt().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorOps#attemptNarrow().	cats/ApplicativeError#attemptNarrow().	cats/ApplicativeError#attemptNarrow().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorOps#attemptT().	cats/ApplicativeError#attemptT().	cats/ApplicativeError#attemptT().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorOps#handleError().	cats/ApplicativeError#handleError().	cats/ApplicativeError#handleError().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorOps#handleErrorWith().	cats/ApplicativeError#handleErrorWith().	cats/ApplicativeError#handleErrorWith().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorOps#onError().	cats/ApplicativeError#onError().	cats/ApplicativeError#onError().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorOps#recover().	cats/ApplicativeError#recover().	cats/ApplicativeError#recover().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorOps#recoverWith().	cats/ApplicativeError#recoverWith().	cats/ApplicativeError#recoverWith().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorOps#redeem().	cats/ApplicativeError#redeem().	cats/ApplicativeError#redeem().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeIdOps#pure().	cats/Applicative#pure().	cats/Applicative#pure().	cats.syntax.applicative.*
cats/syntax/ApplicativeOps#replicateA().	cats/Applicative#replicateA().	cats/Applicative#replicateA().	cats.syntax.applicative.*
cats/syntax/ApplicativeOps#unlessA().	cats/Applicative#unlessA().	cats/Applicative#unlessA().	cats.syntax.applicative.*
cats/syntax/ApplicativeOps#whenA().	cats/Applicative#whenA().	cats/Applicative#whenA().	cats.syntax.applicative.*
cats/syntax/ApplyFABCOps#ap2().	cats/Apply#ap2().	cats/Apply#ap2().	cats.syntax.apply.*
cats/syntax/ApplyFABOps#<*>().	cats/Apply#<*>().	cats/Apply#<*>().	cats.syntax.apply.*
cats/syntax/ApplyFABOps#ap().	cats/Apply#ap().	cats/Apply#ap().	cats.syntax.apply.*
cats/syntax/ApplyOps#*>().	cats/Apply#*>().	cats/Apply#*>().	cats.syntax.apply.*
cats/syntax/ApplyOps#<*().	cats/Apply#<*().	cats/Apply#<*().	cats.syntax.apply.*
cats/syntax/ApplyOps#followedBy().	cats/Apply#followedBy().	cats/Apply#followedBy().	cats.syntax.apply.*
cats/syntax/ApplyOps#forEffect().	cats/Apply#forEffect().	cats/Apply#forEffect().	cats.syntax.apply.*
cats/syntax/ApplyOps#map2().	cats/Apply#map2().	cats/Apply#map2().	cats.syntax.apply.*
cats/syntax/ApplyOps#map2Eval().	cats/Apply#map2Eval().	cats/Apply#map2Eval().	cats.syntax.apply.*
cats/syntax/ApplyOps#productL().	cats/Apply#productL().	cats/Apply#productL().	cats.syntax.apply.*
cats/syntax/ApplyOps#productR().	cats/Apply#productR().	cats/Apply#productR().	cats.syntax.apply.*
cats/syntax/BitraverseOps#bitraverse().	cats/Bitraverse#bitraverse().	cats/Bitraverse#bitraverse().	cats.syntax.bitraverse.*
cats/syntax/BitraverseOpsBinCompat0#leftTraverse().	cats/Bitraverse#leftTraverse().	cats/Bitraverse#leftTraverse().	cats.syntax.bitraverse.*
cats/syntax/DistributiveOps#cosequence().	cats/Distributive#cosequence().	cats/Distributive#cosequence().	cats.syntax.distributive.*
cats/syntax/DistributiveOps#distribute().	cats/Distributive#distribute().	cats/Distributive#distribute().	cats.syntax.distributive.*
cats/syntax/EitherOps#combine().	cats/kernel/Semigroup#combine().	cats/kernel/Semigroup#combine().	cats.syntax.either.*
cats/syntax/EitherOps#compare().	cats/kernel/Order#compare().	cats/kernel/Order#compare().	cats.syntax.either.*
cats/syntax/EitherOps#partialCompare().	cats/kernel/PartialOrder#partialCompare().	cats/kernel/PartialOrder#partialCompare().	cats.syntax.either.*
cats/syntax/EqOps#eqv().	cats/kernel/Eq#eqv().	cats/kernel/Eq#eqv().	cats.syntax.eq.*
cats/syntax/EqOps#neqv().	cats/kernel/Eq#neqv().	cats/kernel/Eq#neqv().	cats.syntax.eq.*
cats/syntax/FlatMapIdOps#iterateForeverM().	cats/FlatMap#iterateForeverM().	cats/FlatMap#iterateForeverM().	cats.syntax.flatMap.*
cats/syntax/FlatMapIdOps#tailRecM().	cats/FlatMap#tailRecM().	cats/FlatMap#tailRecM().	cats.syntax.flatMap.*
cats/syntax/FlatMapOps#followedByEval().	cats/FlatMap#followedByEval().	cats/FlatMap#followedByEval().	cats.syntax.flatMap.*
cats/syntax/FlatMapOps#forEffectEval().	cats/FlatMap#forEffectEval().	cats/FlatMap#forEffectEval().	cats.syntax.flatMap.*
cats/syntax/FlatMapOps#foreverM().	cats/FlatMap#foreverM().	cats/FlatMap#foreverM().	cats.syntax.flatMap.*
cats/syntax/FlatMapOptionOps#untilDefinedM().	cats/FlatMap#untilDefinedM().	cats/FlatMap#untilDefinedM().	cats.syntax.flatMap.*
cats/syntax/FlattenOps#flatten().	cats/FlatMap#flatten().	cats/FlatMap#flatten().	cats.syntax.flatMap.*
cats/syntax/FoldableOps#collectFirstSomeM().	cats/Foldable#collectFirstSomeM().	cats/Foldable#collectFirstSomeM().	cats.syntax.foldable.*
cats/syntax/FoldableOps#collectFold().	cats/Foldable#collectFold().	cats/Foldable#collectFold().	cats.syntax.foldable.*
cats/syntax/FoldableOps#contains_().	cats/UnorderedFoldable#contains_().	cats/UnorderedFoldable#contains_().	cats.syntax.foldable.*
cats/syntax/FoldableOps#findM().	cats/Foldable#findM().	cats/Foldable#findM().	cats.syntax.foldable.*
cats/syntax/FoldableOps#foldA().	cats/Foldable#foldA().	cats/Foldable#foldA().	cats.syntax.foldable.*
cats/syntax/FoldableOps0#foldMapK().	cats/Foldable#foldMapK().	cats/Foldable#foldMapK().	cats.syntax.foldable.*
cats/syntax/FoldableOps0#partitionBifold().	cats/Foldable#partitionBifold().	cats/Foldable#partitionBifold().	cats.syntax.foldable.*
cats/syntax/FoldableOps0#partitionBifoldM().	cats/Foldable#partitionBifoldM().	cats/Foldable#partitionBifoldM().	cats.syntax.foldable.*
cats/syntax/FoldableOps0#partitionEitherM().	cats/Foldable#partitionEitherM().	cats/Foldable#partitionEitherM().	cats.syntax.foldable.*
cats/syntax/FoldableOps1#partitionBifold().	cats/Foldable#partitionBifold().	cats/Foldable#partitionBifold().	cats.syntax.foldable.*
cats/syntax/FoldableOps1#partitionBifoldM().	cats/Foldable#partitionBifoldM().	cats/Foldable#partitionBifoldM().	cats.syntax.foldable.*
cats/syntax/FoldableOps1#partitionEitherM().	cats/Foldable#partitionEitherM().	cats/Foldable#partitionEitherM().	cats.syntax.foldable.*
cats/syntax/FunctorTuple2Ops#unzip().	cats/Functor#unzip().	cats/Functor#unzip().	cats.syntax.functor.*
cats/syntax/GroupOps#inverse().	cats/kernel/Group#inverse().	cats/kernel/Group#inverse().	cats.syntax.group.*
cats/syntax/GroupOps#remove().	cats/kernel/Group#remove().	cats/kernel/Group#remove().	cats.syntax.group.*
cats/syntax/GuardOps#guard().	cats/Alternative#guard().	cats/Alternative#guard().	cats.syntax.alternative.*
cats/syntax/HashOps#hash().	cats/kernel/Hash#hash().	cats/kernel/Hash#hash().	cats.syntax.hash.*
cats/syntax/IfApplyOps#ifA().	cats/Apply#ifA().	cats/Apply#ifA().	cats.syntax.apply.*
cats/syntax/IfFOps#ifF().	cats/Functor#ifF().	cats/Functor#ifF().	cats.syntax.functor.*
cats/syntax/IfMOps#ifM().	cats/FlatMap#ifM().	cats/FlatMap#ifM().	cats.syntax.flatMap.*
cats/syntax/IndexOps#index().	cats/Representable#index().	cats/Representable#index().	cats.syntax.representable.*
cats/syntax/LeftNestedBitraverseOps#leftSequence().	cats/Bitraverse#leftSequence().	cats/Bitraverse#leftSequence().	cats.syntax.bitraverse.*
cats/syntax/MonadErrorOps#adaptError().	cats/ApplicativeError#adaptError().	cats/MonadError#adaptError().	cats.syntax.monadError.*
cats/syntax/MonadErrorOps#attemptTap().	cats/MonadError#attemptTap().	cats/MonadError#attemptTap().	cats.syntax.monadError.*
cats/syntax/MonadErrorOps#ensure().	cats/MonadError#ensure().	cats/MonadError#ensure().	cats.syntax.monadError.*
cats/syntax/MonadErrorOps#ensureOr().	cats/MonadError#ensureOr().	cats/MonadError#ensureOr().	cats.syntax.monadError.*
cats/syntax/MonadErrorOps#redeemWith().	cats/MonadError#redeemWith().	cats/MonadError#redeemWith().	cats.syntax.monadError.*
cats/syntax/MonadErrorRethrowOps#rethrow().	cats/MonadError#rethrow().	cats/MonadError#rethrow().	cats.syntax.monadError.*
cats/syntax/MonadIdOps#iterateUntilM().	cats/Monad#iterateUntilM().	cats/Monad#iterateUntilM().	cats.syntax.monad.*
cats/syntax/MonadIdOps#iterateWhileM().	cats/Monad#iterateWhileM().	cats/Monad#iterateWhileM().	cats.syntax.monad.*
cats/syntax/MonadOps#flatMapOrKeep().	cats/Monad#flatMapOrKeep().	cats/Monad#flatMapOrKeep().	cats.syntax.monad.*
cats/syntax/MonadOps#iterateUntil().	cats/Monad#iterateUntil().	cats/Monad#iterateUntil().	cats.syntax.monad.*
cats/syntax/MonadOps#iterateWhile().	cats/Monad#iterateWhile().	cats/Monad#iterateWhile().	cats.syntax.monad.*
cats/syntax/MonadOps#untilM().	cats/Monad#untilM().	cats/Monad#untilM().	cats.syntax.monad.*
cats/syntax/MonadOps#untilM_().	cats/Monad#untilM_().	cats/Monad#untilM_().	cats.syntax.monad.*
cats/syntax/MonadOps#whileM().	cats/Monad#whileM().	cats/Monad#whileM().	cats.syntax.monad.*
cats/syntax/MonadOps#whileM_().	cats/Monad#whileM_().	cats/Monad#whileM_().	cats.syntax.monad.*
cats/syntax/MonoidOps#isEmpty().	cats/kernel/Monoid#isEmpty().	cats/kernel/Monoid#isEmpty().	cats.syntax.monoid.*
cats/syntax/NestedBitraverseOps#bisequence().	cats/Bitraverse#bisequence().	cats/Bitraverse#bisequence().	cats.syntax.bitraverse.*
cats/syntax/NestedFoldableOps#foldK().	cats/Foldable#foldK().	cats/Foldable#foldK().	cats.syntax.foldable.*
cats/syntax/NestedFoldableOps#sequenceVoid().	cats/Foldable#sequenceVoid().	cats/Foldable#sequenceVoid().	cats.syntax.foldable.*
cats/syntax/NestedFoldableOps#sequence_().	cats/Foldable#sequence_().	cats/Foldable#sequence_().	cats.syntax.foldable.*
cats/syntax/NestedReducibleOps#reduceK().	cats/Reducible#reduceK().	cats/Reducible#reduceK().	cats.syntax.reducible.*
cats/syntax/NonEmptyAlternativeOps#appendK().	cats/NonEmptyAlternative#appendK().	cats/NonEmptyAlternative#appendK().	cats.syntax.nonEmptyAlternative.*
cats/syntax/NonEmptyAlternativeOps#prependK().	cats/NonEmptyAlternative#prependK().	cats/NonEmptyAlternative#prependK().	cats.syntax.nonEmptyAlternative.*
cats/syntax/NonEmptyParallelApOps#parProductL().	cats/NonEmptyParallel#parProductL().	cats/NonEmptyParallel#parProductL().	cats.syntax.parallel.*
cats/syntax/NonEmptyParallelApOps#parProductR().	cats/NonEmptyParallel#parProductR().	cats/NonEmptyParallel#parProductR().	cats.syntax.parallel.*
cats/syntax/OrderOps#compare().	cats/kernel/Order#compare().	cats/kernel/Order#compare().	cats.syntax.order.*
cats/syntax/OrderOps#comparison().	cats/kernel/Order#comparison().	cats/kernel/Order#comparison().	cats.syntax.order.*
cats/syntax/OrderOps#max().	cats/kernel/Order#max().	cats/kernel/Order#max().	cats.syntax.order.*
cats/syntax/OrderOps#min().	cats/kernel/Order#min().	cats/kernel/Order#min().	cats.syntax.order.*
cats/syntax/ParallelApOps#parProductL().	cats/NonEmptyParallel#parProductL().	cats/NonEmptyParallel#parProductL().	cats.syntax.parallel.*
cats/syntax/ParallelApOps#parProductR().	cats/NonEmptyParallel#parProductR().	cats/NonEmptyParallel#parProductR().	cats.syntax.parallel.*
cats/syntax/PartialOrderOps#partialCompare().	cats/kernel/PartialOrder#partialCompare().	cats/kernel/PartialOrder#partialCompare().	cats.syntax.partialOrder.*
cats/syntax/PartialOrderOps#partialComparison().	cats/kernel/PartialOrder#partialComparison().	cats/kernel/PartialOrder#partialComparison().	cats.syntax.partialOrder.*
cats/syntax/PartialOrderOps#pmax().	cats/kernel/PartialOrder#pmax().	cats/kernel/PartialOrder#pmax().	cats.syntax.partialOrder.*
cats/syntax/PartialOrderOps#pmin().	cats/kernel/PartialOrder#pmin().	cats/kernel/PartialOrder#pmin().	cats.syntax.partialOrder.*
cats/syntax/PartialOrderOps#tryCompare().	cats/kernel/PartialOrder#tryCompare().	cats/kernel/PartialOrder#tryCompare().	cats.syntax.partialOrder.*
cats/syntax/ReducibleOps0#reduceA().	cats/Reducible#reduceA().	cats/Reducible#reduceA().	cats.syntax.reducible.*
cats/syntax/ReducibleOps0#reduceMapK().	cats/Reducible#reduceMapK().	cats/Reducible#reduceMapK().	cats.syntax.reducible.*
cats/syntax/SemigroupOps#combine().	cats/kernel/Semigroup#combine().	cats/kernel/Semigroup#combine().	cats.syntax.semigroup.*
cats/syntax/SemigroupOps#combineN().	cats/kernel/Semigroup#combineN().	cats/kernel/Semigroup#combineN().	cats.syntax.semigroup.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder1#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder1#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder1#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder10#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder10#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder10#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder11#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder11#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder11#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder12#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder12#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder12#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder13#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder13#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder13#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder14#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder14#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder14#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder15#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder15#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder15#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder16#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder16#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder16#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder17#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder17#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder17#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder18#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder18#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder18#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder19#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder19#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder19#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder2#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder2#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder2#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder20#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder20#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder20#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.apply.*
cats/syntax/SemigroupalBuilder#SemigroupalBuilder21#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.apply.*
